branch_id,branch_label,mu,Lambda,sorted_position,n_halfwaves_left,n_halfwaves_right,nearest_left_reference_family,nearest_right_reference_family,tracking_mac,branch_behavior
bending_desc_01,потомок 1-й изгибной ветви,0.11625,4.94446968647853,2,1,2,1,2,0.9999514100174124,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.11875,4.953750369936851,2,1,2,1,2,0.9999532031741218,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.12125,4.963127920626645,2,1,2,1,2,0.999954849012397,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.12375,4.972598929291669,2,1,2,1,2,0.9999563532601368,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.125,4.977368439606384,2,1,2,1,2,0.9999893483447558,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.12625,4.982160090950495,2,1,2,1,2,0.9999895109002429,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.12875,4.991808090061267,2,1,2,1,2,0.9999589557504374,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.13125,5.001539509477507,2,1,2,1,2,0.9999600624483862,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.13375,5.011351097050333,2,1,2,1,2,0.9999610442308803,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.13625,5.021239254072754,2,1,2,1,2,0.9999619040223456,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.1375,5.026211095633264,2,1,2,1,2,0.9999906179951082,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.13875,5.031200801165274,2,1,2,1,2,0.9999907031238631,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.14125,5.041232090458251,2,1,2,1,2,0.999963266262277,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.14375,5.051329581383127,2,1,2,1,2,0.9999637719322318,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.14625,5.061489757434694,2,1,2,1,2,0.9999641616039511,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.14875,5.071708896594891,2,1,2,1,2,0.9999644355001451,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.15,5.076839368149506,2,1,2,1,2,0.9999911416218411,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.15125,5.081983115961156,2,1,2,1,2,0.9999911539889869,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.15375,5.092308649273238,2,1,2,1,2,0.9999646330349957,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.15625,5.102681385287013,2,1,2,1,2,0.9999645537199809,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.15875,5.113097067071068,2,1,2,1,2,0.9999643526501881,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.16125,5.123551534557122,2,1,2,1,2,0.9999640266303135,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.1625,5.1287918539638575,2,1,2,1,2,0.9999909249791953,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.16375,5.134040091894409,2,1,2,1,2,0.9999908598969403,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.16625,5.144558206801985,2,1,2,1,2,0.99996298331022,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.16875,5.155100797729557,2,1,2,1,2,0.9999622558740033,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.17125,5.165662678349819,2,1,2,1,2,0.9999613831003157,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.17375,5.176238599755816,2,1,2,1,2,0.9999603578298941,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.175,5.181529982047857,2,1,2,1,2,0.9999898716764535,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.17625,5.1868227166867955,2,1,2,1,2,0.9999897130498663,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.17875,5.197409060699454,2,1,2,1,2,0.9999578166165217,"сначала возрастает, затем убывает; максимум около μ=0.2850"
