"branch_id","mu","Lambda","sorted_position","n_halfwaves_left","n_halfwaves_right","nearest_left_reference_family","nearest_right_reference_family","left_bending_energy_fraction","right_bending_energy_fraction","localization_ratio","arm_bias","left_tip_amplitude_fraction","right_tip_amplitude_fraction"
"bending_desc_01","0.17374999999999999","5.1762385997558162","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.17499999999999999","5.1815299820478566","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.17624999999999999","5.1868227166867955","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.17874999999999999","5.1974090606994539","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.18124999999999999","5.2079913060351934","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.18375","5.2185626371713871","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.18625","5.229116169697428","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.1875","5.2343838843629715","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.18875","5.2396442042845237","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.19125","5.2501389239322096","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.19375000000000001","5.2605919344168584","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.19625000000000001","5.2709942247582582","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.19875000000000001","5.281336284548261","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.20000000000000001","5.2864817813856773","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.20125000000000001","5.2916083528319957","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.20374999999999999","5.3017995636159032","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.20624999999999999","5.3118988309411455","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.20874999999999999","5.3218941912112774","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.21124999999999999","5.3317732874861665","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.21249999999999999","5.3366650283269923","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.21375","5.3415227547889916","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.21625","5.3511287412257547","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.21875","5.3605767245803966","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.22125","5.3698513797436558","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.22375","5.3789367848944751","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.22500000000000001","5.3834034198309224","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.22625000000000001","5.3878165514540495","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.22875000000000001","5.3964733864428567","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.23125000000000001","5.4048898078302248","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.23375000000000001","5.4130478143638596","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.23624999999999999","5.4209291314269441","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.23749999999999999","5.4247602502498031","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.23874999999999999","5.4285152341925293","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.24124999999999999","5.4357876648477541","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.24374999999999999","5.4427282680732363","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.24625","5.4493190704062489","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.24875","5.4555427853945817","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.25","5.4585117618868697","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.25124999999999997","5.4613829916819059","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.25374999999999998","5.4668243071741491","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.25624999999999998","5.4718527950392648","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.25874999999999998","5.4764559176728982","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.26124999999999998","5.4806228003598525","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.26250000000000001","5.4825399969710045","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.26374999999999998","5.4843449535466036","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.26624999999999999","5.4876154692852506","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.26874999999999999","5.4904301195952874","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.27124999999999999","5.4927867779658062","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.27374999999999999","5.4946854440295505","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.27500000000000002","5.4954638869136465","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.27625","5.4961287679464235","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.27875","5.4971213774162129","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.28125","5.4976699851634168","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.28375","5.4977831379991509","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.28625","5.4974713989315225","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.28749999999999998","5.4971598365289882","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.28875000000000001","5.4967465367474908","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.29125000000000001","5.4956216429560003","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.29375000000000001","5.4941108331956334","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.29625000000000001","5.4922291317887639","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.29875000000000002","5.4899921979375135","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.29999999999999999","5.4887454905205892","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.30125000000000002","5.4874158156918007","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.30375000000000002","5.4845163568403477","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.30625000000000002","5.4813096217944421","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.30875000000000002","5.477811963137162","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.31125000000000003","5.474039089165287","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.3125","5.4720542713824241","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.31374999999999997","5.4700063461515613","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
