"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.28375","5.4977831379991509","6.2466533759038843","0.74887023790473339","0.12752765737517038","2","3","1","2","1","2"
"bending_desc_01","bending_desc_04","0.28625","5.4974713989315225","6.2544116288225631","0.75694022989104059","0.12882024576034265","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.28749999999999998","5.4971598365289882","6.2584991445230465","0.76133930799405825","0.12952728710848069","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.28875000000000001","5.4967465367474908","6.2627232669058186","0.76597673015832779","0.13027402475583755","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.29125000000000001","5.4956216429560003","6.2715744487944791","0.77595280583847881","0.13188406138357275","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.29375000000000001","5.4941108331956334","6.2809502579125143","0.78683942471688084","0.1336450687820307","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.29625000000000001","5.4922291317887639","6.2908349170491764","0.79860578526041248","0.13555146300663146","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.29875000000000002","5.4899921979375135","6.3012117935275498","0.81121959559003631","0.13759741518800436","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.29999999999999999","5.4887454905205892","6.3065796443015101","0.81783415378092084","0.13867089621235024","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.30125000000000002","5.4874158156918007","6.3120640395489351","0.82464822385713443","0.13977704678073027","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.30375000000000002","5.4845163568403477","6.323374357834326","0.83885800099397834","0.14208430976608852","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.30625000000000002","5.4813096217944421","6.3351251524091969","0.85381553061475479","0.14451322195400468","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.30875000000000002","5.477811963137162","6.34729911236278","0.86948714922561798","0.14705775593551587","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.31125000000000003","5.474039089165287","6.3598786933570643","0.88583960419177732","0.14971197543726117","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.3125","5.4720542713824241","6.3663152332471702","0.89426096186474613","0.15107840003051609","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.31374999999999997","5.4700063461515613","6.3728467091770495","0.9028403630254882","0.1524700777435149","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.31624999999999998","5.4657288941584925","6.386186233043885","0.9204573388853925","0.15532634667164794","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.31874999999999998","5.4612209576924808","6.3998804551690753","0.9386594974765945","0.15827526716174289","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.32124999999999998","5.4564969246460251","6.4139130510450659","0.95741612639904083","0.1613113832394488","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.32374999999999998","5.4515698738945906","6.4282679638307503","0.9766980899361597","0.16442953233495827","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.32500000000000001","5.449034139036006","6.4355613128832561","0.98652717384725008","0.16601779637150951","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.32624999999999998","5.4464526037805969","6.4429294266694166","0.99647682288881967","0.16762466212907165","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.32874999999999999","5.4411574564906431","6.4578818422905986","1.0167243857999555","0.17089184433638999","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.33124999999999999","5.4356960003486812","6.4731102015772928","1.0374142012286116","0.17422639744709825","2","3","1","2","1","3"
